Rank,German,Correct English,Correct POS,Corrected German Example,Issue
739,Kontakt,contact,M,Ich halte Kontakt mit John und den Kunden.,"""Kontakt halten zwischen John und den Kunden"" is not idiomatic. Use ""Kontakt mit ... halten""."
742,wütend,angry,adj; adv,Manche sind wütend über die Gewichtszunahme.,"""wütend auf das Gewicht"" is semantically odd. A natural example would be ""Manche sind wütend über die Gewichtszunahme."""
780,(da)rauf,on it; up (coll.),cntr; adv,"Danke, ich fahre jetzt rauf.","The entry is ""(da)rauf"" = on it; up in colloquial use belongs to forms such as ""rauf"", while the example uses ""rauf"" without the pronominal ""da-"" component."
812,Hintern,butt; bottom; rear (coll.),M; cntr,Mein Hintern sah darin fantastisch aus.,"""Hintern"" means butt/bottom/rear; ""behind the"" is not a usable dictionary gloss."
815,leiden,suffer,vb2,Frauen und Kinder leiden in Konfliktzeiten am meisten.,"""leiden"" means suffer; ""tolerate"" is generally ""ertragen/verkraften""."
820,leisten,afford; perform; provide,vb; vbr,Wir können uns Misstrauen nicht leisten.,"""leisten"" has context-specific meanings such as afford, provide, perform, accomplish; ""perform"" alone is too broad here."
840,bestehen,pass; exist; consist,vb,"Er konnte schnell genug schwimmen, um die Prüfung zu bestehen.","""bestehen"" can mean exist, consist, pass, persist, insist, withstand depending on context. The example is specifically ""pass"" an exam."
853,vermutlich,probably; presumably; likely,adv,"John weiß vermutlich nicht, wer gut singen kann und wer nicht.","""vermutlich"" means probably/presumably/likely. ""suspected"" is not an equivalent."
858,einverstanden,agreed; willing,adj,"Sie ist sogar damit einverstanden, dass du es schreibst.","With ""einverstanden sein"" and a clause, the natural construction is ""damit einverstanden, dass ...""."
862,übernehmen,take over; assume; take on,vb; vbr,Mütter müssen jedoch keine Verantwortung dafür übernehmen.,"""übernehmen"" means take over, assume, undertake, take on; ""overdo"" is incorrect."
869,unterhalten,talk; converse; entertain,vb; vbr,Sie können sich im Flugzeug unterhalten.,"""unterhalten"" in reflexive use means converse/talk; ""support"" is incorrect. It can also mean entertain in non-reflexive use."
905,daraus,from it; out of it,cntr,Wir wollen eine Waffe daraus bauen.,"""daraus"" here is better ""from it / out of it"" than bare ""from that""."
917,dick,thick; fat,adj,Einige Flächen sind vermutlich zu dick.,"""dick"" means thick/fat; ""thickly"" is not a normal standalone gloss."
923,rot,red,adj,Ihre Wangen waren nicht rot.,"The adjective ""rot"" is not a noun in this entry; ""N"" is misleading unless a nominalized use is intended."
949,blind,blind; blindly,adj; adv,Die meisten Wissenschaftler sind blind dafür.,"""blind"" can be ""blindly"" in some adverbial uses, but ""unquestioningly"" is interpretive rather than a core dictionary equivalent."
952,Schatten,shade; shadow,M,Der alte Baum spendet Schatten.,"""Schatten"" covers both ""shade"" and ""shadow""."
958,dunkel,dark; dim; obscure,adj; adv,Es war dunkel und still im Haus.,"""vaguely"" is not a normal meaning of ""dunkel"". Core meanings are dark, dim, obscure."
960,Plan,plan; scheme,M,Ich bin absolut gegen den Plan.,"""Plan"" does not mean ""plain"". The noun is ""plan/scheme""."
968,Verhalten,behavior; conduct,N,Jedes auffällige Verhalten wird gemeldet und untersucht.,"""Verhalten"" is the noun ""behavior/conduct"". ""behave"" is ""sich verhalten""; ""cautious"" is ""vorsichtig""."
976,stoppen,stop,vb,Ich will nur den Blutfluss stoppen.,"Capitalized ""Stoppen"" is not the same as the noun/verb mix shown; ""stoppen"" is the verb. ""clock"" is not a normal meaning."
984,nutzen,use,vb,Sie können also die Flash-Version dieser Seite nutzen.,"""nutzen"" is the verb ""use""; the noun ""Nutzen"" means benefit/usefulness."
1002,überlegen,consider; think over,vb,"Wir müssen überlegen, was die Repression in Argentinien bedeutet hat.","""überlegen"" means consider/think over; ""superior"" is not a meaning."
1007,lauten,be worded; read as; sound,vb,Unsere Grundprinzipien lauten Ausgewogenheit und Stabilität.,"""lauten"" means be worded/read, sound, be as follows. ""be (based)"" is incorrect."
1012,zweifeln,doubt,vb,"Du hast keinen Grund, an mir zu zweifeln.","An infinitive clause introduced by ""Grund"" normally takes a comma: ""Grund, an mir zu zweifeln""."
1031,langweilig,boring; boringly,adj; adv,Dieses Geschäft ist im wahren Leben langweilig.,"""boringly"" is uncommon; give the adjective ""boring"" and, if desired, ""boringly"" as a marked adverb."
1032,teuer,expensive; costly; dear,adj; adv,Alle seltenen Dinge sind teuer.,"""dearly"" is not the normal adverbial equivalent of ""teuer"". Core meaning is expensive; costly/dear can fit some contexts."
1033,abends,in the evening(s),adv,Ich gebe meiner Katze immer morgens und abends zu fressen.,"""abends"" means ""in the evening(s)""; ""every evening"" is a possible contextual translation but is not the lexical meaning."
1047,berufen,appoint; call; be appointed,vb; adj,"Wir haben besprochen, wer auf den Posten berufen werden sollte.","""berufen"" can mean appoint/call/appoint to a position; ""competent"" is only a special adjective use and should not be paired as a general equivalent."
1057,dadurch,thereby; through that; by doing so,cntr; adv,"Menschliche Wesen unterscheiden sich von den Tieren dadurch, dass sie denken und sprechen können.","""dadurch"" means thereby/through that/by doing so; ""in that"" is not a good standalone gloss."
1082,frisch,fresh; freshly; newly,adj; adv,Unsere neue Lehrerin kommt frisch von der Uni.,"The English field repeats ""fresh"". A useful distinction is fresh; freshly/newly, depending on POS."
1106,wild,wild animals; game,N,Du solltest wilde Tiere nicht füttern.,"""Wild"" as a noun means game/wild animals collectively, not simply ""deer""."
1113,Einsatz,use; deployment; effort; stake,M,Kann man den Einsatz von Gewalt rechtfertigen?,"""Einsatz"" has meanings such as use, deployment, effort, stake, assignment/operation. ""commitment"" is not a general equivalent."
1133,desto,the ... the ...,con,"Je mehr man hat, desto mehr möchte man haben.","""desto"" means ""the ... the ..."" as in ""je mehr ..., desto mehr ...""; ""all the"" is not a standalone translation."
1157,greifen,grab; grasp; reach for,vb,Wir müssen nach der Freiheit greifen.,"""greifen"" means grab/grasp/reach for; ""grip"" is only one context-specific possibility."
1165,dritter,third,adj,Es ist erst sein dritter Tag.,"""dritter"" is an ordinal adjective/determiner, not a numeral category in the same sense as cardinal ""drei""."
1189,weiterhin,still; continuing to,adv,Teilnehmer können es auch weiterhin nutzen.,"""weiterhin"" means still/continuing to; ""further on"" is not the normal equivalent."
1202,innerhalb,within,prp; adv,Die Ergebnisse müssen innerhalb von fünf Arbeitstagen vorliegen.,"The preposition ""innerhalb"" normally takes a genitive or ""von + dative""; ""innerhalb fünf Arbeitstagen"" is missing the ending/article."
1213,(he)rein,in; inside,adv,Geh nur rein und bring reines Wasser.,"""(he)rein"" is a directional adverb meaning in/inside. ""rein"" as pure/clean is a different adjective/adverb."
1215,Not,distress; need; emergency,F,Sie würde niemanden in Not wegschicken.,"""Not"" primarily means distress/need/emergency; ""need"" is only a contextual/archaic gloss, while the example is ""in distress""."
1233,klopfen,knock,vb,Gehen Sie zur Tür und klopfen Sie an.,"The imperative needs the finite verb: ""klopfen Sie an""."
1241,Person,person,F,Er ist die größte Person in der Klasse.,"""längste Person"" sounds like literal length, not height. If the intended meaning is physical height, use ""größte Person""."
1252,Hof,yard; courtyard,M,Aus dem Hof riecht es sehr unangenehm.,"""Aus dem Hof riecht es sehr ausgereift"" is semantically and idiomatically defective; ""ausgereift"" means mature/developed and does not fit this context."
1281,herkommen,come here; come from here,vb,Ich wollte nur herkommen und warten.,"""herkommen"" is a verb meaning come here/come from here; ""origin"" as a noun is not the same lemma."
1300,Ratte,rat,F,Die Ratte ist heute aus dem Käfig entkommen.,"The sentence ""Die Ratte hat mich heute sitzen lassen"" does not illustrate the literal animal noun ""Ratte""; it uses a figurative usage that is very unusual and not learner-friendly."
1324,möglicherweise,possibly,adv,Diese und möglicherweise noch andere Sätze müssen aus dem Korpus entfernt werden.,"The example is incomplete: ""Diese und möglicherweise noch andere Sätze müssen aus dem Korpus entfernt""."
1362,äußerst,extremely; exceedingly,adv,"Es ist äußerst fair, John.","""äußerst"" means extremely/exceedingly; ""exceeding"" is not the adjective equivalent."
1369,Land,country,N,"Das Erdbeben führte zu einer Katastrophe, größer als jede, die das Land je gesehen hatte.","The example contains the stray token ""lant"" and is malformed."
1371,übergeben,hand over; vomit (refl.),vb; vbr,Der Mann wurde der Polizei übergeben.,"""übergeben"" = hand over/transfer; reflexive ""sich übergeben"" = vomit. ""vomit"" should be marked explicitly as reflexive/contextual."
1402,berühren,touch,vb,Berühren Sie die Streifen nicht mit der Nadel.,"The sentence is incomplete/unnatural as an instruction: ""Streifen nicht ..."". It needs a determiner or an imperative construction."
1416,Virus,virus,N,Das Virus fängt an zu mutieren.,"The POS field is malformed/blank in the source row. ""Virus"" is a neuter noun: ""das Virus""."
1417,stammen,originate; come from,vb,Alle Objekte stammen aus dem Motelzimmer.,"""stammen"" is more specifically originate from / come from, not just generic ""come""."
1433,Vermögen,fortune; wealth; assets; ability,N,Ich habe ein beachtliches Vermögen aufgegeben.,"""Vermögen"" means wealth/fortune/assets/capability depending on context. ""achieve"" is not a meaning."
1458,urteilen,judge,vb,"Ich habe kein Recht, über jemanden zu urteilen.","The infinitive clause needs a comma: ""Recht, über jemanden zu urteilen""."
1478,Regen,rain,M,Setze es nicht dem Regen aus.,"Capitalized ""Regen"" is the noun ""rain"". Verb ""regen"" means stir/rouse, not simply ""move""."
1490,weich,soft; gentle,adj; adv,"Sie sind wie Taschentücher, weich und wegwerfbar.","""weich"" is soft/gentle/supple; ""smoothly"" is context-dependent and not a core equivalent."
1511,verabschieden,say goodbye; see off,vbr; vb,Du möchtest dich nicht einmal verabschieden.,"""verabschieden"" does not mean ""pass"". ""sich verabschieden"" = say goodbye; ""jemanden verabschieden"" = see someone off."
1515,eindeutig,clear; unambiguous; unequivocal,adj; adv,Kannst du dieses Wort eindeutig definieren?,"""eindeutig"" means clear, unambiguous, unequivocal, not ""unique""."
1531,verdächtigen,suspect,vb,Und niemand wird dich jemals verdächtigen.,"The pronoun placement is marked/unusual. Neutral order is ""Niemand wird dich jemals verdächtigen."""
1541,ausgerechnet,of all people; of all places; just,adv,Warum fragst du ausgerechnet mich?,"""ausgerechnet"" is an adverb, not an adjective."
1559,zugeben,admit; concede,vb,Du möchtest es bloß nicht zugeben.,"""zugeben"" means admit/concede; ""add"" is possible only in specific contexts such as adding an ingredient and should not be a primary gloss here."
1575,beleidigt,offended; hurt; resentful,adj,"Er war beleidigt, aber er blieb stumm.","""sulkily"" is not a useful standard gloss for ""beleidigt"". The common adverbial/phrase senses are offended, hurt, resentful."
1600,pleite,broke; bankrupt (coll.),adj,"Bald sind wir pleite, wenn wir nicht aufhören, Geld auszugeben.","""pleite"" means broke/bankrupt (colloquial adjective). ""bankruptcy"" is a noun and not the same part of speech."
1610,einstellen,adjust; hire; stop,vb; vbr,Ich möchte die Lautstärke einstellen.,"""einstellen"" means adjust/set, hire, stop/discontinue, set/adjust oneself depending on construction. ""appear"" is not a core meaning."
1614,ausruhen,rest,vbr,Wir werden uns hier kurze Zeit ausruhen.,"""ausruhen"" is normally reflexive: ""uns ausruhen""."
1621,begehen,commit,vb,"Was ist sein Motiv, einen Mord zu begehen?","The intended construction is ""sein Motiv, einen Mord zu begehen""."
1635,leihen,lend; borrow,vb; vbr,Ich musste ihm Geld leihen.,"""leihen"" covers lend and borrow with different constructions; the reflexive form for borrowing should be shown separately."
1661,verzweifelt,desperately; desperate,adv; adj,Ich bin verzweifelt. Deshalb ...,"""Weil ich verzweifelt bin, deshalb."" is a fragment and repeats the causal conjunction unnecessarily."
1718,Blitz,lightning; flash of lightning,M,Ein Blitz schlug in mein Haus ein.,"""Es war ein Blitz in meinem Haus"" is unnatural. Better ""In meinem Haus schlug ein Blitz ein"" depending intended meaning, or a standard weather example."
1733,Aufregung,excitement,F,Jane war außer sich vor Aufregung.,The English gloss contains a trailing comma and is incomplete/untidy.
1781,Betrüger,fraudster; con artist; swindler,M,"Ich sehe einen Betrüger, der seine Großmutter wahrscheinlich nie kannte.","""Betrüger"" is a person: fraudster, con artist, swindler. ""fraud"" is the act/noun."
1803,weglaufen,run away,vb,"Du willst immer weglaufen, Jane.","""weglaufe"" must be ""weglaufen""."
1811,lohnen,be worth; be worthwhile,vb2,"Es lohnt sich, andere historische Gebäude zu besichtigen.","""Gebäude lohnen sich zu sehen"" is understandable but stylistically weak. Better ""Es lohnt sich, andere historische Gebäude zu besichtigen."""
1814,Personal,staff; personnel,N,Der Plan wurde praktisch vom ganzen Personal unterstützt.,"Capitalized ""Personal"" means staff/personnel. English ""personal"" is an adjective, not the noun equivalent."
1816,Ausgang,exit,M,Wir setzten uns auf die Stühle neben dem Ausgang.,"""sich in die Stühle platzieren"" is unnatural. Use ""sich auf die Stühle setzen""."
1862,betragen,be; amount to,vb,Die Gesamtanzahl der beteiligten Länder muss mindestens 3 betragen.,"The sentence needs a determiner: ""Die Gesamtanzahl ... muss ... betragen."""
1882,ausrichten,align; adjust; convey; arrange,vb,Soll ich John irgendetwas ausrichten?,"""ausrichten"" can mean align/adjust, carry out, convey a message, arrange; ""tall"" is incorrect."
1905,Übersetzung,translation,F,Ich werde diese Übersetzung ändern.,"The English gloss contains a trailing comma and should simply be ""translation""."
1934,scheinbar,seemingly; apparently (often with implied doubt),adv; adj,Anscheinend habe ich ihn verärgert.,"""scheinbar"" means seemingly/apparently in the sense of only apparently; ""anscheinend"" is the neutral ""apparently"". The example is more naturally ""anscheinend""."
2059,höflich,polite; courteous,adj; adv,"Entschuldigung, das ist nicht höflich.","""höflich"" means polite/courteous. ""cordially"" is ""herzlich"" and is not a normal adverbial equivalent here."
2072,irgendwohin,somewhere; somewhere to,adv,Ich will irgendwohin in Europa.,"""irgendwohin"" means somewhere (to a place), i.e. ""somewhere/to somewhere"". Plain ""somewhere"" misses the directional component."
2170,piepen,beep,vb,Du schuldest mir 40 Piepen.,"""piepen"" is the verb ""to beep"". Slang money ""Piepen"" is a separate nominalized noun."
2221,stoßen,bump; butt,vb2,Kinder stoßen sich die Köpfe die ganze Zeit.,"""stoßen ihre Köpfe"" is incorrect in this meaning. Use ""stoßen sich die Köpfe"" or ""stoßen mit ihren Köpfen zusammen""."
2234,Bude,place; shack; hut (coll.),F,Dann fuhr ich in meine Bude.,"""Bude"" is colloquial and context-dependent: shack, hut, place, den, booth. ""hut"" alone is too narrow."
2247,grau,grey,adj; N,"Wenn alles grau ist, sind alle Werte positiv wie normal.","The example is a fragment and semantically unclear: ""Wenn grau, sind ..."""
2283,übertragen,transfer; transmit; broadcast,vb,"Malaria ist eine Krankheit, die von Moskitos übertragen wird.","""übertragen"" has meanings such as transfer, transmit, broadcast, carry over. ""figurative"" is not a verb meaning."
2296,versammeln,gather,vb2,Am Sonntag versammeln sich alle zu einem festlichen Gottesdienst.,"""an dem festlichen Gottesdienst"" is wrong in this context. Use ""zu einem festlichen Gottesdienst"" or ""bei einem festlichen Gottesdienst""."
2306,Keks,biscuit; cookie,M,Ich habe einen Keks gegessen.,"The POS field is blank/malformed in the source row. ""Keks"" is a masculine noun: ""der Keks""."
2347,Lunge,lung,F,Das sind die beiden Flügel der Lunge.,The English gloss contains a trailing comma and is incomplete.
2361,quitt,even; square; settled,adj,Gib sie zurück und wir sind quitt.,"""quitt"" means even/square/settled in expressions such as ""Wir sind quitt"". ""quits"" is not a natural English adjective gloss."
2378,riskant,risky; dangerous,adj; adv,"Wenn es für dich zu riskant ist, sag es.","""riskant"" means risky; dangerous. ""dangerously"" is not the adjective/adverb pair here."
2387,verlegen,embarrassed; awkward; misplaced,adj; vb,Sie sind doch nicht etwa verlegen?,"""verlegen"" can mean embarrassed/awkward, misplaced, or move/relocate. ""sheepishly"" is not a lexical equivalent."
2419,jährig,year-old; aged (as a suffix),adj; sfx,Für diesen Adapter gilt eine zweijährige Gewährleistung.,"""jährig"" is mainly a suffix/derivational adjective component (e.g. zweijährig), not a useful standalone learner headword meaning ""*year""."
2420,Streifen,strip; stripe; streak,M,Das Fleisch in dünne Streifen schneiden.,"""Streifen"" means strip/stripe/streak; ""brush"" is not a standard core noun meaning."
2434,Kneipe,bar (coll.),F,Sie war in der Kneipe und es ist ein Vorfall passiert.,"""Inzident"" is not natural standard German for a routine incident; use ""Vorfall"" or ""Zwischenfall""."
2452,durchziehen,carry through; follow through; see through,vb2,"Aber ich weiß, du wirst es durchziehen und mich stolz machen.","""durchziehen"" here means carry through / follow through / see it through. ""pull through"" usually means recover/survive."
2454,durchgehen,go through; review; pass; be accepted,vb,Wir müssen nur noch einmal alles durchgehen.,"""durchgehen"" can mean go through, review, pass, be accepted, or walk through. ""be allowed"" is not a general meaning."
2459,irre,crazy; insane,adj,Dieser Irre ist zu allem fähig.,"""irre"" is an adjective meaning crazy/insane. ""Irrer"" is the substantivized noun/person ""maniac/crazy person""."
2488,leck,leaky,adj,Zuerst müssen Sie das Leck schließen.,"""leck"" is the adjective ""leaky"". Noun ""Leck"" means a leak. The entry mixes the two."
2500,Kellner,waiter,M,Ich habe einen Kellner gerufen.,"The sentence is grammatical but semantically odd: ""I hired a waiter so that you can leave."" It is not a good learner example."
2506,Gras,grass; weed (coll.),N,"Das Gras ist zu nass, um sich hinzusetzen.","""zum Hinsetzen"" is grammatically possible but awkward for grass. A natural sentence is ""Das Gras ist zu nass, um sich hinzusetzen."""
2519,ausfahren,extend; drive out,vb,Fahren Sie es vollständig aus und richten Sie es für bestmöglichen Empfang aus.,The entry is an instruction fragment. It is valid as a UI/manual instruction but not ideal as a standalone learner example.
